flight_number,Departure_IATA,Arrival_IATA,Airline_IATA,flight_date
QF2764,GUA,ORD,QF,2026-03-30
MS3122,SJO,DEN,MS,2026-01-22
UA4469,HEL,JNB,UA,2026-01-23
JU766,SDQ,POS,JU,2026-02-15
VS8590,FCO,DXB,VS,2026-02-11
KM2148,HND,VIE,KM,2026-02-01
EK5114,BOG,BSB,EK,2026-02-11
JL9550,SGN,MEL,JL,2026-01-09
KM3093,CPT,VIE,KM,2026-01-25
CX9998,BRU,SCL,CX,2026-01-02
QF7950,SGN,BOM,QF,2026-03-25
WS7639,NBO,HAM,WS,2026-01-20
EY1196,NCL,KIN,EY,2026-03-08
KL1740,SCL,BOG,KL,2026-01-24
NZ3764,ATH,BHX,NZ,2026-03-25
KM5036,NBO,MEL,KM,2026-03-27
PX5290,BHX,HAN,PX,2026-03-20
JT1342,SGN,SAL,JT,2026-03-03
6E5374,ICN,BFS,6E,2026-03-08
AI7270,AMS,LPL,AI,2026-01-02
SV4224,KIN,LEJ,SV,2026-03-05
BT3987,GUA,BCN,BT,2026-03-24
LH744,PRG,HKG,LH,2026-03-17
AI5491,GLA,HND,AI,2026-03-04
TP2803,MEL,WAW,TP,2026-01-23
JU6084,PUJ,MAN,JU,2026-02-08
VN5605,CGN,EDI,VN,2026-02-16
KC1320,SIN,NTE,KC,2026-03-11
VS2490,LIS,YYZ,VS,2026-01-06
OZ1685,BSL,WAW,OZ,2026-02-09
KC5018,JNB,ICN,KC,2026-02-06
EK3518,PTY,DOH,EK,2026-02-11
AV8537,KEF,SCL,AV,2026-01-04
AC4031,MEX,BRS,AC,2026-03-14
AS6135,MUC,ORD,AS,2026-01-16
SV4629,CPT,IST,SV,2026-03-14
FI719,PEK,MNL,FI,2026-02-20
AY4759,SYD,ATL,AY,2026-03-29
TG9839,BOG,GUA,TG,2026-03-31
W67410,KEF,PTY,W6,2026-03-30
KU7818,PUJ,GRU,KU,2026-01-03
KC5232,MEX,BKK,KC,2026-01-19
SV2537,WLG,TLS,SV,2026-02-22
WS1386,ICN,GRU,WS,2026-02-11
JT8803,VIE,DFW,JT,2026-03-10
KQ6294,FCO,PRG,KQ,2026-03-27
FR6488,FRA,ZRH,FR,2026-01-11
VS2612,HAN,SCL,VS,2026-02-26
DL5495,NTE,LIS,DL,2026-01-02
TS8394,SCL,LIS,TS,2026-03-31
MS2927,GIG,BOD,MS,2026-03-11
UL1238,SGN,MXP,UL,2026-01-25
KQ6552,MEL,HND,KQ,2026-03-25
UL1742,SAL,ARN,UL,2026-03-17
TP8815,BFS,MEL,TP,2026-01-01
WS3820,DEL,DEN,WS,2026-03-13
